Group,Hour,Day,PM_mean,PM_sd,Time,,,,
TEAM3,14,11/6/2015,0.455,0.039874804,11/6/2015 14:29,,,,
TEAM3,14,11/8/2015,0.085,0.02786874,11/8/2015 14:28,,,,
TEAM3,15,11/3/2015,0.13,0.050497525,11/3/2015 15:33,,,,
TEAM3,15,11/5/2015,0.215,0.061535897,11/5/2015 15:26,,,,
TEAM3,15,11/6/2015,0.785,0.241364179,11/6/2015 15:29,,,,
TEAM3,15,11/8/2015,0.14,0.048166378,11/8/2015 15:29,,,,
TEAM3,16,11/3/2015,0.19,0.096902012,11/3/2015 16:33,,,,
TEAM3,16,11/5/2015,0.215,0.04833908,11/5/2015 16:26,,,,
TEAM3,16,11/6/2015,0.855,0.123733585,11/6/2015 16:29,,,,
TEAM3,16,11/8/2015,0.08,0.030983867,11/8/2015 16:30,,,,
TEAM3,17,11/3/2015,0.515,0.166813269,11/3/2015 17:33,,,,
TEAM3,17,11/5/2015,0.215,0.039707262,11/5/2015 17:26,,,,
TEAM3,17,11/6/2015,0.71,0.162408949,11/6/2015 17:29,,,,
TEAM3,17,11/8/2015,0.04,0.042778499,11/8/2015 17:30,,,,
TEAM3,18,11/3/2015,0.565,0.092231593,11/3/2015 18:33,,,,
TEAM3,18,11/5/2015,0.235,0.037771241,11/5/2015 18:26,,,,
TEAM3,18,11/6/2015,0.71,0.082401456,11/6/2015 18:29,,,,
TEAM3,18,11/8/2015,0.075,0.038686776,11/8/2015 18:30,,,,
TEAM3,19,11/4/2015,0.495,0.10751744,11/3/2015 19:33,,,,
TEAM3,19,11/6/2015,0.25,0.037771241,11/5/2015 19:26,,,,
TEAM3,19,11/7/2015,0.955,0.215166602,11/6/2015 19:29,,,,
TEAM3,19,11/9/2015,0.095,0.018618987,11/8/2015 19:30,,,,
TEAM3,20,11/4/2015,0.715,0.119457105,11/3/2015 20:34,,,,
TEAM3,20,11/6/2015,0.245,0.034302575,11/5/2015 20:27,,,,
TEAM3,20,11/7/2015,0.49,0.113739468,11/6/2015 20:30,,,,
TEAM3,20,11/9/2015,0.09,0.02228602,11/8/2015 20:30,,,,
TEAM3,21,11/4/2015,0.615,0.138045886,11/3/2015 21:34,,,,
TEAM3,21,11/6/2015,0.29,0.042739521,11/5/2015 21:27,,,,
TEAM3,21,11/7/2015,0.41,0.11760102,11/6/2015 21:30,,,,
TEAM3,21,11/9/2015,0.07,0.024221203,11/8/2015 21:30,,,,
TEAM3,22,11/4/2015,0.905,0.156418243,11/3/2015 22:34,,,,
TEAM3,22,11/6/2015,0.255,0.063245553,11/5/2015 22:27,,,,
TEAM3,22,11/7/2015,0.375,0.116733314,11/6/2015 22:30,,,,
TEAM3,22,11/9/2015,0.055,0.027325202,11/8/2015 22:31,,,,
TEAM3,23,11/4/2015,0.91,0.201171569,11/3/2015 23:34,,,,
TEAM3,23,11/6/2015,0.255,0.054772256,11/5/2015 23:27,,,,
TEAM3,23,11/7/2015,0.31,0.086583293,11/6/2015 23:30,,,,
TEAM3,23,11/9/2015,0.055,0.023166067,11/8/2015 23:31,,,,
TEAM4,0,11/5/2015,0.26,0.037771241,11/5/2015 0:31,,,,
TEAM4,0,11/6/2015,0.575,0.209380037,11/6/2015 0:31,,,,
TEAM4,0,11/7/2015,0.4,0.068044103,11/7/2015 0:29,,,,
TEAM4,0,11/8/2015,0.36,0.064807407,11/8/2015 0:33,,,,
TEAM4,0,11/9/2015,0.05,0.021602469,11/9/2015 0:29,,,,
TEAM4,0,11/10/2015,0.06,0.042150524,11/10/2015 0:30,,,,
TEAM4,1,11/5/2015,0.285,0.073393914,11/5/2015 1:31,,,,
TEAM4,1,11/6/2015,0.51,0.081649658,11/6/2015 1:31,,,,
TEAM4,1,11/7/2015,0.225,0.072502874,11/7/2015 1:29,,,,
TEAM4,1,11/8/2015,0.365,0.090203474,11/8/2015 1:33,,,,
TEAM4,1,11/9/2015,0.04,0.030331502,11/9/2015 1:30,,,,
TEAM4,1,11/10/2015,0.07,0.103473024,11/10/2015 1:30,,,,
TEAM4,2,11/5/2015,0.21,0.079498428,11/5/2015 2:31,,,,
TEAM4,2,11/6/2015,0.41,0.058195074,11/6/2015 2:31,,,,
TEAM4,2,11/7/2015,0.265,0.046224092,11/7/2015 2:29,,,,
TEAM4,2,11/8/2015,0.19,0.055136195,11/8/2015 2:33,,,,
TEAM4,2,11/9/2015,0.02,0.02228602,11/9/2015 2:30,,,,
TEAM4,2,11/10/2015,0.035,0.020976177,11/10/2015 2:30,,,,
TEAM4,3,11/5/2015,0.315,0.091596943,11/5/2015 3:31,,,,
TEAM4,3,11/6/2015,0.615,0.295347253,11/6/2015 3:31,,,,
TEAM4,3,11/7/2015,0.285,0.045055521,11/7/2015 3:30,,,,
TEAM4,3,11/8/2015,0.215,0.057503623,11/8/2015 3:33,,,,
TEAM4,3,11/9/2015,0.055,0.021369761,11/9/2015 3:30,,,,
TEAM4,3,11/10/2015,0.06,0.070332543,11/10/2015 3:30,,,,
